
<br><br>

After that code has executed, what value does <code>french</code> refer to?",<code>'bonjour'</code>,<code>'hello'</code>,<code>None</code>,,,,,,,,,,,,

"Recall the <code>str</code> method <code>find</code>:



<pre>find(...)

    S.find(sub[, start[, end]]) -> int

    

    Return the lowest index in S where substring sub is found,  such that sub is

    contained within S[start:end].  Optional arguments start and end are interpreted

    as in slice notation. Return -1 on failure.

</pre>



Consider this code: <code>queen_of_hearts = 'Off with their heads!'</code><br />  

Choose the expression that produces the index of <code>'heads'</code> in the string that <code>queen_of_hearts</code> refers to. ",<code>'queen_of_hearts'.find('heads')</code>,<code>queen_of_hearts.find('heads')</code>,<code>'heads'.find('queen_of_hearts')</code>,<code>'heads'.find(queen_of_hearts)</code>,,,,,,,,,,,

"Using the Python Visualizer, visualize <a href=""http://pythontutor.com/csc108h.html#code=def+say_hello()%3A%0A++++print('hello')%0A++++%0Adef+say_bonjour()%3A%0A++++return+'bonjour'%0A%0Aenglish+%3D+say_hello()%0Afrench+%3D+say_bonjour()&mode=display&origin=csc108h.js&rawInputLstJSON=%5B%5D&curInstr=0"" target=""_blank"">this code</a> and answer the following question.

<br><br>

When that code is executed, what is printed?","<pre>

'hello'

'bonjour'

</pre>",<code>'hello'</code>,<code>'bonjour'</code>,,,,,,,,,,,,

"Consider this code:

<pre>return temp == 22.5</pre>

Select the code fragment(s) that are equivalent to the one above.

<br>","<pre>if temp == 22.5:

    return True</pre>","<pre>if temp == 22.5:

    return True

else:

    return False</pre>","<pre>if temp == 22.5:

    return True

elif temp != 22.5:

    return False

</pre>","<pre>if temp == 22.5:

    return True

return False</pre>",,,,,,,,,,,

"Consider this code:

<pre>>>> white_queen = ""Jam tomorrow and jam yesterday - but never jam today.""

>>> white_queen.count(""jam"")

2</pre></small>

The code above counts only lowercase occurrences of <code>""jam""</code>.  Below is the output of <code>help(str.lower)</code>:

<pre>lower(...)

    S.lower() -> str

    Return a copy of the string S converted to lowercase.

</pre>





Which expression produces the number of occurrences of <code>""jam""</code> <em>ignoring letter case</em>?<br />","<code>white_queen.count(""jam"").lower()</code>","<code>white_queen.count(""Jam"".lower())</code>","<code>white_queen.lower().count(""jam"")</code>",,,,,,,,,,,,

"Select the code fragment(s) that can be used to fill in the blank with a call on function <code>range</code> to produce the positive even numbers up to and including 10.

<pre>for i in __________________:

    print(i)

</pre>

The loop should print this:

<pre>2

4

6

8

10</pre>","<code>range(2, 10)</code>","<code>range(2, 11)</code>","<code>range(2, 10, 2)</code>","<code>range(2, 11, 2)</code>",,,,,,,,,,,

"Consider this code: 

<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/visualizer_1.png"" alt=""program"" width=""75%"">



Trace the above <a href=""http://pythontutor.com/csc108h.html#code=%23+When+you+arrive+at+UofT+you+need+20+credits.%0Acompleted+%3D+0%0Arequired+%3D+20%0Acredits_to_go+%3D+required+-+completed%0A%0A%23+By+the+holiday+break,+you%E2%80%99ve+done+5+courses.%0Acompleted+%3D+5%0A%0A%23+Oops!++They+were+5+half-courses.%0Acompleted+%3D+completed+/+2%0A%0A%23+Let%E2%80%99s+update+the+number+of+credits+remaining.%0Acredits_to_go+%3D+required+-+completed%0A%0A%23+By+April,+you+have+completed+5+full+credits.%0Acompleted+%3D+5%0A%0A%23+By+the+end+of+2nd+year,+you+have+done+5+more+full+credits.%0Acompleted+%3D+completed+%2B+5&mode=display&origin=csc108h.js&rawInputLstJSON=%5B%5D&curInstr=0"" target=""_blank"">code in the Python visualizer</a> to answer the following questions.<br><br>



After line 10 has been executed, what value does <code>completed</code> refer to?",<code>2.0</code>,<code>3</code>,<code>2</code>,<code>2.5</code>,,,,,,,,,,,

"Here is the code for <code>insert</code> with docstring and comments removed:

<pre>

def insert(L, i):

    value = L[i]



    while i > 0 and L[i - 1] > value:

        L[i] = L[i - 1]

        i = i - 1



    L[i] = value

</pre>

When <code>insert(L, 4)</code> is executed on the example list, how many assignment statements are executed?",2,4,6,8,10,,,,,,,,,,

"<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/visualizing_fn_calls_arg.png"" width=""75%""/>



The line with the red arrow (line 15) is about to be executed. After stepping through to the end of the code above (we can do this by pressing the <b>Last</b> button), how many variables (excluding those that refer to functions) will be on the stack?  Recall that the stack is represented by the images on the right-hand side of the model.  (If the image is too small, right-click on it and open it in a new browser tab. Then you can zoom in.)





",2,3,4,5,1,,,,,,,,,,

"<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/visualizing_function_calls_2.png""/>

<br>

The red arrow indicates the line that is about to be executed.  What value does <code>result</code> refer to at the current stage of execution?

",5,0,300,<code>result</code> is not defined,,,,,,,,,,,

"<pre>def g(x):

    y = 10

    y = 2

    return y + x



def f():

    y = 1  

    return g(y)

    

print(f())

</pre>



In the code above, the line <code>y = 1</code> creates a new variable <code>y</code> that refers to value <code>1</code>. In which stack frame does this happen?

",In the stack frame for the main program.,In the stack frame for <code>f</code>.,In the stack frame for <code>g</code>.,Error: variable <code>y</code> already exists in function <code>g</code>.,,,,,,,,,,,

"The minimum passing grade is 50 and variables <code>math_grade</code>, <code>bio_grade</code>, and <code>cs_grade</code> represent a student's final grades in three courses.  Here is a Boolean expression:<br><br>

<code>math_grade >= 50 or bio_grade >= 50 or cs_grade >= 50</code>

<br>

Below are some English statements. Each may be true or may be false.  Which English sentence is true exactly when the Boolean expression evaluates to <code>True</code>?

<br>",The student passed none of the courses.,The student passed at least one of the courses.,The student passed all of the courses.,The student passed some but not all of the courses.,,,,,,,,,,,

"The minimum passing grade is 50, the minimum grade for ""A"" is 80 and variables <code>math_grade</code>, <code>bio_grade</code>, and <code>cs_grade</code> represent a student's final grades in three courses.  Select the expression(s) that correspond with the English sentence:<br>

""The student passed all their courses and earned at least one A"".

<br>",<code>(math_grade >= 50 or math_grade >= 80) and (bio_grade >= 50 or bio_grade >= 80) and (cs_grade >= 50 or cs_grade >=  80)</code>,<code>((math_grade >= 50 and bio_grade >= 50 and cs_grade >= 50) and (math_grade >= 80 or bio_grade >=80 or cs_grade >= 80))</code>,,,,,,,,,,,,,

"The minimum passing grade is <code>50</code>. Variable <code>grade</code> refers to the grade for a student.  Select the expression(s) that correspond with the English sentence:<br>

 ""The student passed.""

<br>",<code>grade >= 50</code>,<code>50 >= grade</code>,<code>not not (grade >= 50)</code>,<code>not (grade &lt; 50)</code>,,,,,,,,,,,

"Consider this code:

<pre>>>> bro = input(""How many brothers do you have? "") 

How many brothers do you have? 4

>>> sis = input(""How many sisters do you have? "")

How many sisters do you have? 2

>>> sibs = ' siblings!'

</pre>

Assuming the code above has been executed, choose the statement below that prints this: <br><code>6 siblings!</code>

<br>",<code>print((bro + sis) + sibs)</code>,<code>print(str(int(bro) + int(sis)) + sibs)</code>,<code>print(str(int(bro + sis)) + sibs)</code>,,,,,,,,,,,,

"Here is the code for <code>insertion_sort</code> with docstring and comments removed:

<pre>

def insertion_sort(L):

    for i in range(len(L)):

        insert(L, i)

</pre>



In function <code>insertion_sort</code>, the first time that function insert is called <code>i</code> refers to <code>0</code>; the second time, <code>i</code>

refers to <code>1</code>; and so on. What value does <code>i</code> refer to the last time that function <code>insert</code> is called?

",<code>len(L) - 1</code>,<code>len(L)</code>,,,,,,,,,,,,,

"Here is the code for <code>insert</code> with docstring and comments removed:

<pre>

def insert(L, i):

    value = L[i]



    while i > 0 and L[i - 1] > value:

        L[i] = L[i - 1]

        i = i - 1



    L[i] = value

</pre>



In general, in the <em>best case</em>, on pass <code>i</code> of insertion sort, how many assignment statements are executed?

",<code>2</code>,<code>0</code>,<code>i</code>,<code>2i</code>,<code>2i + 2</code>,,,,,,,,,,

"Consider this code, which is in a file called <code>words.py</code>:

<pre>

def word_frequency(letter_to_words):

    """""" (dict of {str: list of str}) -> dict of {str: int}



    Precondition: the length of each list in letter_to_words is at least 1,

    each key in letter_to_words is a lowercase letter, and each value is a

    list of lowercase words beginning with that letter.



    Return a dictionary where the keys are the letters from letter_to_words,

    and the values are the number of words beginning with that letter in

    letter_to_words.



    >>> d = {'a': ['apple'], 'b': ['beet', 'banana'], 'c': ['carrot', 'cucumber']}

    >>> expected = {'a': 1, 'b': 2, 'c': 2}

    >>> word_frequency(d) == expected

    True

    """"""

</pre>



Consider this <code>unittest</code> method header:

<pre>

def test_word_frequency(self):

    """""" A dictionary with several items.""""""



    # Add body here.

</pre>



Select the <code>unittest</code> method body(ies) that are equivalent to the <code>doctest</code> in the <code>word_frequency</code> docstring.  You can assume that <code>words</code> has been imported.","<pre>

    d = {'a': ['apple'], 'b': ['beet', 'banana'], 'c': ['carrot', 'cucumber']}

    actual = words.word_frequency(d)

    expected = {'a': 1, 'b': 2, 'c': 2}

    self.assertEqual(actual, expected)

</pre>","<pre>

    d = {'a': ['apple'], 'b': ['beet', 'banana'], 'c': ['carrot', 'cucumber']}

    actual = words.word_frequency(d)

    expected = {'c': 2, 'b': 2, 'a': 1}

    self.assertEqual(actual, expected)

</pre>","<pre>

    d = {'a': ['apple'], 'b': ['beet', 'banana'], 'c': ['carrot', 'cucumber']}

    words.word_frequency(d)

    expected = {'a': 1, 'b': 2, 'c': 2}

    self.assertEqual(d, expected)

</pre>",,,,,,,,,,,,

"Consider this code:

<pre>

digits = '0123456789'

result = 0



for digit in digits:

    result = result + int(digit)



print(result)

</pre>



What is printed by the code above?",<code>45.0</code>,<code>9876543210</code>,<code>45</code>,<code>0123456789</code>,,,,,,,,,,,

"Recall the remove_shared function from the Testing Functions that Mutate Values video:

<pre>

def remove_shared(L1, L2):

    """""" (list, list) -> NoneType



    Remove items from L1 that are in both L1 and L2.

    """"""



    for v in L2:	

        if v in L1:		

            L1.remove(v)		

</pre>



Here is a unittest class with a single test case for this function.  The expected values are not shown.

<pre>

import unittest



class TestRemoveShared(unittest.TestCase):

    """"""Tests for function duplicates.remove_shared.""""""



    def test_full_overlap(self):

        """"""

        Test remove_shared where the two lists have the

        same items, but the order is different.

        """"""

        

        list_1 = [1, 2, 3]

        list_2 = [3, 2, 1]

        list_1_expected = # What is the expected value for list_1?

        list_2_expected = # What is the expected value for list_2?



        remove_shared(list_1, list_2)



        self.assertEqual(list_1, list_1_expected)

        self.assertEqual(list_2, list_2_expected)

	

if __name__ == '__main__':

    unittest.main(exit=False)

</pre>

Select the correct code fragment for this test case:","<pre>        list_1_expected = [3, 2, 1]

        list_2_expected = [1, 2, 3]

</pre>","<pre>        list_1_expected = []

        list_2_expected = [1, 2, 3]

</pre>","<pre>        list_1_expected = [3, 2, 1]

        list_2_expected = []

</pre>","<pre>        list_1_expected = []

        list_2_expected = [3, 2, 1]

</pre>","<pre>        list_1_expected = [1, 2, 3]

        list_2_expected = [3, 2, 1]

</pre>",,,,,,,,,,

"Note: There is no incorrect answer to this question. We are interested in knowing what you consider important when solving a programming problem.



You are being asked to solve a programming problem that involves writing a function. Which of the following components of the problem or starter code do you find most important?",The problem description.,"The function name, if it is provided.","The function's type signature, if it is provided.","The function's description, if it is provided.","The examples in the docstring, if any are provided.",The results of the tests.,,,,,,,,,

"What is printed when this code is executed?

<pre>

def traffic_report(light):

    if light == 'red':

        return 'stop'

    elif light == 'yellow':

        return 'slow'

    elif light == 'green':

        return 'go'



print(traffic_report('yellow'))

</pre>",<code>stop</code>,"<code>

stop<br />

slow<br />

go</code>",<code>None</code>,<code>slow</code>,<code>go</code>,,,,,,,,,,

"To determine whether a string is a palindrome, the third algorithm we explored was:

<ol>

<li>Compare the first character to the last character, the second to the second last, and so on.</li>

<li>Stop when the middle of the string is reached. (That means that the middle character is not compared with anything.)</li>

</ol>

We implemented this algorithm using a <code>while</code> loop, but we could have used a <code>for</code> loop. Here is the function header:

<pre>

def is_palindrome_v3(s):     

    """""" (str) -> bool



    Return True if and only if s is a palindrome.



    >>> is_palindrome_v3('noon')

    True

    >>> is_palindrome_v3('racecar')

    True

    >>> is_palindrome_v3('dented')

    False

    """"""

</pre>

<p>

The function bodies below all use <code>for</code> loops to try to solve the palindrome problem. Select the one(s) that correctly implement the algorithm. 

</p>

<p>

Hint: try tracing the code on a string of length 1, and then on a string of length 2.

</p>","<pre>

    for i in range(len(s) // 2):

        if s[i] != s[len(s) - i - 1]:

            return False



    return True

</pre>","<pre>

    j = len(s) - 1

    for i in range(len(s) // 2):

        if s[i] != s[j - i]:

            return False



    return True

</pre>","<pre>

    for i in range(len(s) // 2):

        if s[i] != s[len(s) - i]:

            return False



    return True 

</pre>","<pre>

    for i in range(len(s) // 2 + 1):

        if s[i] != s[len(s) - i - 1]:

            return False



    return True

</pre>",,,,,,,,,,,

"Select the missing line (_____) that makes the following incomplete function correct:



<pre>def has_vowel(s):

    """"""(str) -> bool 

    Return True if and only if s has at least one vowel, not including y.

    >>> has_vowel(""Anniversary"")

    True

    >>> has_vowel(""xyz"")

    False

    """"""

    vowel_found = False

    for char in s:

        if char in 'aeiouAEIOU':

            ______

    return vowel_found

</pre>",<code>vowel_found = vowel_found + 1</code>,<code>vowel_found = char</code>,<code>vowel_found = True</code>,<code>vowel_found = not vowel_found</code>,,,,,,,,,,,

"Below is <code>count_adjacent_repeats</code>, rewritten slightly so that the body of the <code>for</code> loop compares the current character to the <i>previous</i> one, rather than the next one. Select the call to <code>range</code> that correctly completes the function.



<pre>def count_adjacent_repeats(s):

    repeats = 0

    for i in ______:

        if s[i] == s[i - 1]:

            repeats = repeats + 1



    return repeats</pre>",<code>range(len(s))</code>,"<code>range(1, len(s))</code>",<code>range(len(s) + 1)</code>,"<code>range(1, len(s) + 1)</code>",,,,,,,,,,,

"Consider this code:

<pre>CashRegister(1, 2, 3, 4, 5)</pre>

What are the steps that happen as Python executes this code?","<ol><li>Call the <code>CashRegister.__init__</code> method, which creates a <code>CashRegister</code> object and then creates instance variables inside that object.</li>

<li>Produce that object's memory address.</li>

</ol>

","<ol><li>Create an object of type <code>CashRegister</code>.</li>

<li>Call that object's <code>__init__</code> method, which creates instance variables inside the object.</li>

<li>Produce that object's memory address.</li>

</ol>","<ol><li>Create an object of type <code>CashRegister</code>.</li>

<li>Call that object's <code>__init__</code> method, which creates instance variables inside the object and then returns the memory address of the new object.</li>

</ol>

",,,,,,,,,,,,

"Imagine we want to modify <code>count_matches</code> (reproduced below) to count the number of matching elements in two <i>lists</i>. For example <code>count_matches([1, 2, 3], [5, 2, 3])</code> should evaluate to 2. Select the option(s) below that would <strong>need</strong> to be changed in order to make the function do this.

<pre>def count_matches(s1, s2):

    """""" (str, str) -> int



    Precondition: len(s1) == len(s2) 



    Return the number of positions in s1 that contain the same character at the

    corresponding position of s2.  

    """"""



    num_matches = 0

    for i in range(len(s1)):

        if s1[i] == s2[i]:

            num_matches = num_matches + 1

    return num_matches</pre>",the initial value of <code>num_matches</code>,the <code>range</code> expression,the <code>if</code> condition,the <code>return</code> statement,None of the above.,,,,,,,,,,

"Consider this code:

<pre>

def write_to_file(file, sentences):

    """""" (file open for writing, list of str) -> NoneType



    Precondition: the strings in sentences contain no newlines



    Write each sentence from sentences to file, one per line.

    """"""



    # CODE MISSING HERE

</pre>

Select the code fragment(s) that make the function above match its docstring description.","<pre>    for s in sentences:

        file.write(s + '\n')

</pre>","<pre>    for s in sentences:

        file.write(s)

</pre>","<pre>    file.write(sentences)

</pre>","<pre>    for s in sentences:

        file.write(s)

        file.write('\n')

</pre>","<pre>    for s in sentences:

        file.write(s)

    file.write('\n')

</pre>",,,,,,,,,,

"Here is some profiling output. Select the function or method that was called the most times.

<pre>         110006 function calls in 0.054 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)

        1    0.002    0.002    0.054    0.054 <string>:1(<module>)

        1    0.036    0.036    0.052    0.052 mod.py:1(gather_every_kth)

        1    0.005    0.005    0.005    0.005 mod.py:19(make_lists)

        1    0.000    0.000    0.054    0.054 {built-in method exec}

        1    0.000    0.000    0.000    0.000 {built-in method len}

   110000    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}

        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

</pre>",<code>exec</code>,<code>append</code>,<code>gather_every_kth</code>,<code>make_lists</code>,,,,,,,,,,,

"Consider this code:

<pre>

def phone_number(number, area_code='416'):

    return area_code + '-' + number

</pre>

Which of the function calls produces <code>'905-555-1234'</code>?

<br>","<code>phone_number('555-1234', '905')</code>","<code>phone_number('905', '555-1234')</code>","<code>phone_number('555-1234', area_code='905')</code>",<code>phone_number('555-1234')</code>,,,,,,,,,,,

"Using Wing, I completed the table above.",yes,no,,,,,,,,,,,,,

"Consider this code:

<pre>

class CashRegister:

    def __init__(self, denoms, cashier):

        self.denominations = denoms

        self.cashier = cashier



class Employee:

    def __init__(self, name, age):

        self.first_name = name

        self.age = age



denoms = {'loonies': 5, 'toonies': 12}

john = Employee('John', 17)

c1 = CashRegister(denoms, john)

</pre>



Select the expressions that evaluate to <code>True</code>.",<code>c1.cashier.age &lt; c1.denominations['toonies']</code>,<code>len(c1.denominations) == 2</code>,<code>sum(c1.denominations.values()) == c1.cashier.age</code>,,,,,,,,,,,,

"In the <em>best case</em>, does <code>insertion_sort</code> have constant running time, linear running

time, quadratic running time, or some other running time?

",constant,quadratic,something else,linear,,,,,,,,,,,

"Here is the function <code>get_index_of_smallest</code> with docstring and comments removed:

<pre>

def get_index_of_smallest(L, i):

    index_of_smallest = i



    for j in range(i + 1, len(L)):

        if L[j] < L[index_of_smallest]:

            index_of_smallest = j



    return index_of_smallest

</pre>



For function <code>get_index_of_smallest(L, i)</code>, is there a worst case and a best case?

",Yes,No,,,,,,,,,,,,,

"In terms of the number of items in the unsorted section, does <code>get_index_of_smallest</code> have constant running time, linear running time, quadratic running time, or some other running time?

",constant,linear,quadratic,something else,,,,,,,,,,,

"In the list below, 4 passes of the insertion sort algorithm have been completed, and the double bar separates the sorted part of the list from the unsorted part. The item at index <code>i</code> is missing. Below is a list of possible values that we can use to fill in the missing value.  Select the value that will cause <code>insert(L, i)</code> to perform the <em>greatest</em> number of steps.

<br>

(That's called the <em>worst case</em>.)



<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/w10_rehearse/insertion_worst_missing.png"">",2,3,5,6,7,,,,,,,,,,

"Here is the code for <code>selection_sort</code> with docstring and comments removed:

<pre>

def selection_sort(L):

    for i in range(len(L)):

        index_of_smallest = get_index_of_smallest(L, i)

        L[index_of_smallest], L[i] = L[i], L[index_of_smallest]

</pre>



In function <code>selection_sort</code>, the first time that function <code>get_index_of_smallest</code> is called, <code>i</code> is

<code>0</code>; the second time, <code>i</code> is <code>1</code>; and so on. What value does <code>i</code> have the last time that function <code>get_index_of_smallest</code> is called?

",<code>len(L) - 1</code>,<code>len(L)</code>,,,,,,,,,,,,,

"Let's say you want to write a class called <code>MyVeryOwnClass</code>, and an instance of that class that has two instance variables, <code>a</code> and <code>b</code>, with values <code>3</code> and <code>4</code>.



One or more of the following bits of code accomplish this.  Which one(s)?","<pre>class MyVeryOwnClass:

    def __init__(self, val1, val2):

        self.a = val1

        self.b = val2

 

my_instance = MyVeryOwnClass(3, 4)</pre>","<pre>class MyVeryOwnClass:

    def __init__(val1, val2):

        a = val1

        b = val2

         

my_instance = MyVeryOwnClass(3, 4)</pre>","<pre>class MyVeryOwnClass:

    def __init__(self, a, b):

        return



my_instance = Something_Class(3, 4)</pre>","<pre>class MyVeryOwnClass:

    def __init__(self):

        return

  

my_instance = MyVeryOwnClass()

my_instance.a = 3

my_instance.b = 4

</pre>",,,,,,,,,,,

"Here is the code for <code>insert</code> with docstring and comments removed:

<pre>

def insert(L, i):

    value = L[i]



    while i > 0 and L[i - 1] > value:

        L[i] = L[i - 1]

        i = i - 1



    L[i] = value

</pre>

When <code>insert(L, 4)</code> is executed on the example list, how many times does the while loop iterate?  (That is, how many times is the body of the while loop executed.)",once,twice,three times,four times,five times,<code>len(L)</code> times,,,,,,,,,

"Here is the code for <code>insert</code> with docstring and comments removed:

<pre>

def insert(L, i):

    value = L[i]



    while i > 0 and L[i - 1] > value:

        L[i] = L[i - 1]

        i = i - 1



    L[i] = value

</pre>



In general, in the <em>worst case</em>, on pass <code>i</code> of insertion sort, how many times does the while loop iterate?",<code>2i</code>,<code>i</code>,<code>2i + 2</code>,,,,,,,,,,,,

"Here is the code for <code>insertion_sort</code> with docstring and comments removed:

<pre>

def insertion_sort(L):

    for i in range(len(L)):

        insert(L, i)

</pre>



For the <em>best case</em>, how many comparisons are made during <b>all</b> calls on <code>insert</code>? Let <code>n</code> represent <code>len(L)</code>.

",1,<code>2</code>,<code>n</code>,<code>2n - 1</code>,<code>2n</code>,,,,,,,,,,

"This dictionary has 3 keys that are all the same.  <strong>Enter this in the Python shell:</strong>

<pre>

{1: 10, 1: 20, 1: 30}

</pre>



After the code above has been executed, what value is associated with key <code>1</code>?



<p><strong>What we want you to think about:</strong> We haven't covered this situation in the videos; what do <em>you</em> think should happen?  Do you think this should cause an error?  Should it discard some of the key/value pairs?  If so, which one do you think it should keep?  People who create programming languages have to make these kinds of decisions, and often there isn't a clear good choice.</p>

",10,20,30,,,,,,,,,,,,

"Consider this code:

<pre>

class Contact:

    """""" A contact with a first name, a last name, and an email address. """"""



    def __init__(self, first_name, last_name, email_address):

        """""" (Contact, str, str, str) -> NoneType 



        Initialize this contact with first name first_name, last name 

        last_name, and email address email_address.

        """"""



        self.first_name = first_name

        self.last_name = last_name

        self.email_address = email_address

</pre>

 Variable <code>jen</code> refers to a <code>Contact</code> object. Select the correct way to print <code>jen</code>'s email address.",<code>print(self.email_address)</code>,<code>print(jen[2])</code>,<code>print(jen.email_address)</code>,<code>print(jen.self.email_address)</code>,,,,,,,,,,,

"Consider this code (we don't show the body of <code>even_indices</code>):

<pre>

def apply(func, L):

    """""" (function, list) -> object



    Apply func to L and return the result.

    """"""



    return func(L)



def even_indices(L):

    """""" (list) -> list



    Return a list of the values at even indices in L.



    >>> even_indices(['a', 'b', 'c', 'd', 'e'])

    ['a', 'c', 'e']

    """"""

</pre>

What will <code>apply(even_indices, [10, 11, 12, 13])</code> produce?<br>","<code>[10, 11, 12, 13]</code>","<code>[10, 12]</code>","<code>[11, 13]</code>","<code>[10, 12, 14]</code>",,,,,,,,,,,

"<pre>

def is_palindrome_v3(s):



    i = 0

    j = len(s) - 1

    while i &lt; j and s[i] == s[j]:

        i = i + 1

        j = j - 1



    return j &lt;= i

</pre>

If <code>s</code> refers to the empty string, when the return statement is reached, which of the following expressions evaluates to <code>True</code>?",<code>i == 0 and j == -1</code> ,<code>i == 0 and j == 0</code> ,<code>i == 0 and j == 1</code>,<code>i == 1 and j == 0</code> ,,,,,,,,,,,

"Consider this code:

<pre>def repeat_string(x):

    x += x

    

def repeat_list(x):

    x.extend(x)

    

position = [""first"", ""second"", ""third"", ""fourth""]

double_position = position

repeat_list(double_position)



count = ""123456789""

double_count = count

repeat_string(double_count)



print(position)

print(double_position)

print(count)

print(double_count)</pre>

You should be able to trace this code manually, rather than running it.  We recommend that you try this ‰ÛÒ you will need to do similar tasks on the midterm and exam.  (You can check your answer in Wing if you like.)



Below, select what this program prints.","<pre>[""first"", ""second"", ""third"", ""fourth""]

[""first"", ""second"", ""third"", ""fourth"", ""first"", ""second"", ""third"", ""fourth""]

123456789

123456789123456789</pre>","<pre>[""first"", ""second"", ""third"", ""fourth""]

[""first"", ""second"", ""third"", ""fourth""]

123456789

123456789

</pre>","<pre>[""first"", ""second"", ""third"", ""fourth"", ""first"", ""second"", ""third"", ""fourth""]

[""first"", ""second"", ""third"", ""fourth"", ""first"", ""second"", ""third"", ""fourth""]

123456789123456789

123456789123456789</pre>","<pre>[""first"", ""second"", ""third"", ""fourth"", ""first"", ""second"", ""third"", ""fourth""]

[""first"", ""second"", ""third"", ""fourth"", ""first"", ""second"", ""third"", ""fourth""]

123456789

123456789</pre>","<pre>[""first"", ""second"", ""third"", ""fourth""]

[""first"", ""second"", ""third"", ""fourth""]

123456789123456789

123456789123456789</pre>",,,,,,,,,,

"In the list below, 4 passes of the insertion sort algorithm have been completed, and the double bar separates the sorted part of the list from the unsorted part. The item at index <code>i</code> is missing. Below is a list of possible values that we can use to fill in the missing value.  Select the value that will cause <code>insert(L, i)</code> to perform the <em>fewest</em> number of steps.  

<br>

(That's called the <em>best case</em>.)



<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/w10_rehearse/insertion_best_missing.png"">",0,1,2,5,,,,,,,,,,,

"In the list below, <code>i</code> passes of the selection sort algorithm have been completed, and the double bar separates

the sorted part of the list from the unsorted part.



<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/w10_rehearse/selection.png"">



Here is the function <code>get_index_of_smallest</code> with docstring and comments removed:

<pre>

def get_index_of_smallest(L, i):

    index_of_smallest = i



    for j in range(i + 1, len(L)):

        if L[j] < L[index_of_smallest]:

            index_of_smallest = j



    return index_of_smallest

</pre>

Function <code>get_index_of_smallest(L, i)</code> works by comparing pairs of items from the unsorted section. If

there are <code>n</code> items in <code>L</code>, when <code>get_index_of_smallest(L, i)</code> is executed, how many pairs of items

are compared?

",<code>n - i - 1</code>,<code>n - i</code>,<code>n</code>,,,,,,,,,,,,

"There are five denominations (strings): <code>'loonies'</code>, <code>'toonies'</code>, <code>'fives'</code>, <code>'tens'</code>, and <code>'twenties'</code>.  These correspond to five different instance variables.  When method <code>add</code> is called, it uses a fairly long if/elif statement to figure out which variable to change.



We could have instead used a single variable and a Python collection, and the code in method <code>add</code> would be much shorter -- only a single line!  Which collection type would allow us to do this?

<br>","A list of <code>int</code>: the item at each index (<code>1</code>, <code>2</code>, <code>5</code>, <code>10</code>, and <code>20</code>; the other indices are unused) represents how many of that denomination are in the cash register.","A list of tuple of <code>(str, int)</code>: Each item in the list is a tuple containing the denomination and the count for that denomination.",A dictionary of <code>{str: int}</code>: each key represents a denomination and each value represents how many of that denomination are in the cash register.,,,,,,,,,,,,

"Consider this code:

<pre>

def contains_item(L, s):

    """""" (list, object) -> bool



    Return True if and only if s is an item of L.

    """"""



    for item in L:

        if item == s:

            return True

        else:

            return False

</pre>

There are bugs in the implementation of the function above (the code does not work as described). Select the test(s) that reveal the bugs.   (Think about the <strong>Order</strong> category for choosing test cases.)

